p__d26058,p__c01002,p__a03002,p__d26007,p__age,p__k02006,p__k02007,p__d14002,p__d14004,p__d14005,p__d14008,p__d14011,p__d25040,p__d25041,p__d25042,p__d25045,p__d25047,p__d25048,p__d25049,p__d25052,p__d25053,p__d25056,p__d25057,p__d25058,p__d25060,p__d25062,p__d25064,p__d25065,p__d25066,p__d25070,p__d25072,p__d25073,p__d25076,p__d25077,p__d25080,p__d25081,p__d25082,p__d25083,p__d25085,p__d23003,p__d23005,p__d23006,p__d23007,p__d23008,p__n01038,p__n01041,p__n01042,p__n01043,p__n01047,pid,is_churned
,2,3,2,7,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,4,2,3,2,1,2,1,1,1,1,4,4,4,4,3,3,2,3,3,2,10210001,1
2,6,3,1,5,3,3,0,0,1,1,1,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,10220001,0
2,6,4,2,7,1,1,0,0,1,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,5,5,5,5,4,5,4,3,3,3,2,3,2,2,4,3,4,4,3,3,3,2,2,3,10230001,0
,3,3,1,3,2,2,0,0,1,1,1,4,4,2,4,1,3,3,2,1,1,1,1,1,5,5,5,5,5,4,5,4,4,4,2,1,1,1,4,4,4,3,3,3,3,2,3,3,10230003,0
,4,2,1,6,3,1,1,1,1,1,1,3,2,5,5,3,5,3,5,5,4,5,4,2,5,5,5,4,4,5,4,5,5,4,4,4,3,5,3,3,4,4,3,2,3,4,4,4,10240001,0
,4,2,5,6,2,1,1,1,1,1,1,1,3,4,4,2,4,3,4,4,1,1,2,1,5,5,5,2,4,5,3,3,5,5,1,1,2,5,4,3,5,2,2,4,4,3,3,4,10240002,0
2,2,2,1,3,1,1,4,6,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,10240003,0
,4,2,1,3,4,1,3,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,3,4,10240004,0
3,7,4,1,6,2,2,0,0,1,1,1,1,1,1,4,2,3,3,3,2,2,2,1,1,5,5,5,4,5,5,4,3,1,2,2,2,2,2,4,5,5,4,4,3,3,3,3,3,10250001,1
2,4,4,1,6,4,4,0,0,1,1,1,2,2,2,4,1,4,3,3,2,2,2,1,1,5,4,5,5,4,4,4,4,3,2,2,1,1,2,4,5,4,4,4,4,3,3,3,3,10250002,0
3,4,3,1,8,1,1,0,0,1,1,1,2,2,1,4,2,4,3,3,2,1,2,1,1,5,5,5,5,4,5,4,4,4,3,2,1,2,2,4,5,5,4,4,4,3,3,4,4,10260001,1
,5,4,1,4,2,1,0,0,1,1,1,5,5,4,4,4,5,5,5,5,4,4,2,3,5,5,5,5,5,5,4,4,5,4,4,4,2,2,4,5,5,5,5,3,4,4,3,3,10320003,1
3,6,4,1,6,3,2,3,1,2,1,1,4,4,4,4,3,3,3,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,3,4,5,3,4,4,4,3,3,2,2,2,1,10330001,0
3,6,4,1,6,3,1,3,2,2,1,2,4,5,3,4,3,4,4,5,5,3,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,2,4,2,2,2,2,2,10330002,0
3,6,3,1,3,3,1,3,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,5,2,1,2,2,1,10330003,0
6,6,4,1,7,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,4,4,3,3,3,4,4,5,5,3,3,4,4,3,4,3,3,4,3,2,2,1,2,1,10370002,1
3,6,4,3,6,1,1,0,0,1,1,1,2,2,3,3,2,2,3,2,1,2,1,1,1,5,5,5,5,5,5,4,4,5,4,3,2,3,2,4,3,3,3,3,2,2,3,3,3,10380003,0
,10,4,1,4,1,1,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,4,10410101,0
,10,4,1,4,1,1,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,2,5,5,3,3,4,10410102,1
,5,3,4,6,2,2,0,0,1,1,1,4,5,3,4,4,3,4,3,3,1,1,1,1,4,4,3,4,5,3,4,4,4,4,1,1,1,1,4,5,3,3,5,3,5,4,3,3,10480002,1
,7,3,3,5,2,2,0,0,1,1,1,4,3,4,4,4,3,4,3,3,3,1,1,1,5,4,4,5,4,4,4,3,3,3,3,3,1,1,5,4,5,3,4,3,4,4,3,3,10490001,1
,5,3,4,5,2,2,0,0,1,1,1,4,4,3,4,3,4,3,3,2,1,1,1,1,4,4,3,4,4,3,3,4,3,3,1,1,1,1,4,3,3,5,4,2,3,4,2,3,10490002,1
2,8,4,4,7,2,1,0,0,1,1,1,5,5,4,4,3,3,4,4,3,3,3,3,3,5,5,4,4,5,4,4,3,3,3,4,3,3,3,4,5,4,5,4,5,4,4,4,4,10530002,1
1,7,3,5,5,2,2,1,1,1,1,1,4,3,3,3,4,4,4,3,3,3,4,3,3,4,4,4,5,4,4,5,4,4,4,3,3,4,4,4,5,5,4,5,4,5,5,4,4,10550001,0
4,6,3,2,5,3,2,1,1,1,1,1,4,4,3,3,3,2,3,3,3,3,4,3,3,4,5,4,4,4,3,3,4,4,4,3,4,4,4,5,4,5,5,5,4,4,3,3,3,10560003,0
,6,3,2,7,2,2,1,1,1,1,1,4,3,3,4,4,4,3,3,4,4,4,4,4,4,3,3,5,4,4,4,3,3,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,10570001,0
,5,3,2,7,3,3,1,1,1,1,1,4,4,4,3,3,4,4,3,3,3,3,3,3,4,3,3,4,4,4,3,3,4,4,4,3,3,3,5,4,5,5,5,4,3,3,3,3,10570002,0
,7,3,2,4,3,3,1,1,1,1,1,4,4,4,3,3,4,4,4,3,3,4,4,4,3,3,4,4,4,3,3,4,4,3,3,4,4,4,4,5,5,4,5,4,3,3,4,4,10570004,0
4,6,3,2,7,2,2,1,1,1,1,1,3,3,4,4,4,3,4,5,4,4,3,4,4,4,4,3,3,5,4,4,4,3,3,4,4,4,4,5,4,5,5,5,4,4,3,4,4,10580001,0
3,7,3,3,6,2,2,1,1,1,1,1,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,4,4,3,3,3,4,2,3,4,4,4,4,5,4,5,4,5,4,4,3,3,3,10580002,1
,5,4,1,5,3,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,4,3,3,10650001,0
4,5,4,1,3,2,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,2,4,10670004,0
3,11,4,1,3,1,1,0,0,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,3,4,10670005,1
3,7,4,5,5,4,4,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,5,4,4,5,4,10680001,1
,5,4,5,5,3,3,0,0,1,1,1,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,3,4,4,3,4,4,10680002,1
,4,2,5,2,3,2,0,0,1,1,1,3,4,4,5,4,1,1,3,1,4,3,3,3,5,5,5,5,5,1,2,3,3,5,5,4,4,4,2,4,3,3,3,2,2,2,2,2,10680004,1
4,7,4,2,5,4,4,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,4,3,4,3,4,3,3,10690001,0
,7,4,5,5,3,2,1,1,1,1,1,4,5,4,5,5,5,4,4,5,5,4,5,4,5,5,4,5,5,4,4,4,4,5,4,5,4,4,5,5,5,5,5,4,4,4,4,4,10730001,0
3,4,3,5,5,4,3,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,3,3,4,10730002,0
,6,4,5,6,3,3,3,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,3,3,3,4,3,3,3,10750001,0
1,6,4,4,5,2,1,1,1,1,4,1,3,3,3,2,2,4,4,4,4,3,3,1,1,5,5,5,5,5,5,5,4,4,5,3,4,3,4,5,5,5,5,5,5,4,4,4,5,10790002,1
,6,4,5,6,4,4,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,2,3,3,3,2,3,2,10850001,1
,5,2,5,6,3,3,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,3,2,4,4,4,4,4,10850002,1
,5,4,4,5,3,3,0,0,1,1,1,4,4,4,4,4,4,3,4,4,3,3,4,2,5,5,5,5,5,5,3,4,4,5,3,3,3,4,3,3,3,3,3,2,2,2,2,2,10900002,1
,6,3,5,7,3,3,1,1,1,1,1,4,4,3,3,5,5,4,4,4,3,4,4,4,4,4,3,3,4,5,5,4,4,4,3,3,4,4,5,5,5,5,5,5,5,4,4,4,11000002,0
3,7,3,3,4,3,3,1,1,1,1,1,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,5,5,4,4,3,3,4,5,4,5,5,4,4,4,4,3,4,11000101,0
3,7,3,2,4,3,3,1,1,1,1,1,4,4,4,5,5,4,4,3,3,4,5,4,4,4,4,4,5,5,5,4,4,4,3,3,4,4,4,5,4,5,5,5,4,5,4,4,4,11000102,0
3,7,3,3,6,2,2,2,1,1,1,1,3,4,4,4,3,3,5,5,5,4,4,4,4,4,4,3,3,4,4,5,3,3,3,4,4,4,4,5,5,5,5,5,4,4,3,4,4,11010001,1
3,6,3,3,6,4,3,2,2,2,2,2,4,4,5,5,4,4,4,5,5,4,4,4,4,4,3,3,4,4,5,5,3,3,3,4,4,4,4,5,4,5,5,5,4,4,5,5,5,11010002,1
5,7,3,3,6,3,3,2,2,2,2,2,4,4,3,3,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,3,4,5,5,4,4,3,4,5,4,5,5,5,4,4,3,3,3,11020001,1
5,7,3,3,6,3,3,1,1,1,1,1,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,3,4,4,5,4,5,5,5,4,4,3,3,3,11020002,0
5,7,3,3,3,3,3,2,2,2,2,2,4,4,4,5,5,5,3,3,4,4,5,4,4,4,5,5,4,4,4,4,3,3,3,4,5,4,4,5,4,5,5,5,4,5,5,5,5,11020003,0
,7,3,2,7,2,2,1,1,1,1,1,4,4,4,5,4,4,3,4,4,4,3,4,4,4,3,3,4,4,3,3,4,4,3,3,4,4,4,4,5,5,5,5,4,4,3,3,4,11030001,0
,7,3,2,6,2,3,1,1,1,1,1,3,3,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,4,4,3,3,3,3,5,4,4,5,5,4,4,4,3,3,11030002,0
4,7,3,2,3,4,3,0,0,2,2,2,4,4,3,4,5,4,4,3,4,4,3,3,3,4,4,5,5,4,4,3,3,3,4,4,5,4,4,5,5,5,5,5,4,4,4,5,4,11030004,0
3,6,4,6,7,2,2,0,0,1,1,1,3,2,3,2,3,4,3,2,4,3,2,3,3,5,5,4,4,3,3,2,2,5,5,4,4,3,3,4,5,3,5,5,4,4,3,2,4,11040002,0
3,6,3,3,6,2,2,1,1,1,1,1,4,3,3,4,4,3,3,3,4,4,4,4,4,4,3,3,3,4,5,5,5,4,4,4,4,4,4,5,5,4,5,5,4,4,4,5,5,11070001,0
3,6,3,3,6,2,2,1,1,1,1,1,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,3,3,3,5,4,5,4,5,4,4,3,3,4,11070002,1
3,7,4,5,4,2,2,0,0,1,1,1,3,4,5,4,3,4,4,3,3,3,4,5,4,4,4,4,3,4,3,3,3,3,3,2,1,1,1,5,4,4,5,4,3,4,4,3,4,11110002,1
,6,4,2,5,2,2,0,0,1,1,1,2,1,2,2,2,4,3,4,4,3,4,4,4,5,5,5,5,4,4,5,4,4,3,4,3,3,4,5,5,5,5,4,5,5,4,5,4,11140001,0
,5,4,2,5,1,1,0,0,1,1,1,1,2,3,2,2,1,3,2,2,3,2,3,3,5,5,5,5,5,4,4,3,4,3,4,3,4,3,4,2,3,3,3,4,3,4,3,4,11140002,1
5,5,4,2,6,2,2,0,0,1,1,1,1,2,2,2,2,1,1,5,5,5,3,4,4,5,5,4,4,3,3,2,3,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,11160001,0
1,6,4,2,6,1,2,0,0,1,1,1,1,1,3,2,3,3,3,5,4,3,2,3,3,4,4,3,3,3,4,3,2,4,4,3,3,3,3,3,4,3,4,2,4,3,3,4,3,11160002,0
,5,4,2,6,2,1,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,5,3,3,4,4,3,3,3,3,3,3,3,4,5,4,4,4,3,4,4,3,4,11180001,0
4,5,4,2,6,2,2,0,0,1,1,1,2,3,2,3,2,2,3,2,3,2,3,2,3,5,5,5,2,2,5,5,5,5,3,3,2,3,3,3,5,2,4,3,4,3,4,3,3,11180002,0
4,9,4,5,6,3,3,0,0,1,1,1,5,5,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,4,5,4,5,5,5,4,11220001,0
,6,3,4,4,3,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,11290003,1
6,5,2,2,6,3,4,0,0,1,1,1,3,3,4,5,5,4,4,3,3,4,4,4,4,4,4,3,3,4,4,5,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,11390001,0
,4,4,2,6,1,1,0,0,1,1,1,3,4,3,4,3,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,3,2,3,2,3,3,4,4,3,3,3,3,4,3,4,11410002,0
5,7,4,1,5,3,3,0,0,1,1,1,4,4,4,5,5,4,4,4,4,3,4,4,4,4,4,5,4,4,5,5,5,4,4,4,3,4,4,5,5,4,5,5,4,4,4,5,5,11420003,0
5,6,4,2,6,2,2,0,0,1,1,1,3,3,4,4,4,4,5,4,4,3,4,4,4,5,5,4,4,3,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,5,5,4,11430002,1
3,5,3,1,3,3,3,0,0,1,1,1,4,4,5,5,4,4,4,4,3,4,4,4,4,5,5,4,4,5,5,4,4,4,3,5,5,4,5,4,5,5,5,5,4,5,5,4,4,11440003,0
3,6,3,2,5,2,2,0,0,1,1,1,3,3,2,2,2,3,3,4,3,3,3,3,3,3,3,4,4,3,3,2,2,3,3,4,4,5,3,4,4,4,4,4,4,4,4,3,3,11460002,0
,5,4,2,3,2,2,0,0,1,1,1,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,3,2,3,2,2,4,4,3,3,11470004,1
2,4,4,2,2,1,1,0,0,1,1,1,5,5,5,5,4,5,3,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1,2,1,1,1,3,4,3,3,4,11490004,1
2,6,4,3,5,2,2,2,2,1,1,1,4,4,3,5,4,4,4,5,5,5,3,4,4,5,5,5,4,5,5,4,5,4,4,3,5,4,4,3,2,2,2,1,3,4,2,2,3,11510002,0
2,5,4,1,2,1,1,0,0,1,1,1,4,4,2,5,3,3,4,5,5,5,2,4,4,5,5,5,5,5,4,5,5,5,5,3,5,3,4,3,3,2,3,3,4,5,4,4,3,11510004,0
2,7,4,3,3,1,1,0,0,1,1,1,4,5,5,5,3,4,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2,2,3,2,2,4,3,3,3,3,11520004,1
2,6,4,5,5,2,1,2,1,1,1,1,3,3,4,4,2,3,4,4,4,5,3,3,2,5,5,5,5,5,5,4,5,5,5,4,5,4,4,4,5,2,5,3,3,4,4,2,3,11530002,1
2,7,4,2,3,2,1,0,0,1,1,1,5,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,3,2,5,4,4,5,5,11530003,0
,6,4,4,4,2,2,0,0,1,1,1,4,4,5,5,4,4,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,3,2,3,2,3,2,2,1,2,2,11620004,1
3,6,4,1,5,3,3,0,0,1,1,1,3,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,3,3,4,4,5,5,4,4,4,5,4,5,4,4,4,5,5,5,5,11660001,0
4,4,4,2,5,3,3,0,0,1,1,1,3,3,4,4,4,3,3,3,4,4,3,3,3,4,4,5,4,4,3,3,4,4,4,3,3,4,4,5,4,5,4,4,4,4,5,5,4,11660002,1
2,5,4,2,3,1,1,2,2,1,1,1,4,5,5,5,4,5,5,5,5,5,3,2,4,5,5,5,5,5,5,5,5,4,5,5,5,4,3,2,2,2,2,1,4,4,3,3,4,12040003,0
3,5,3,5,7,2,1,0,0,1,1,1,2,2,3,3,2,2,2,2,2,1,1,1,1,5,5,5,5,5,5,3,1,1,4,1,3,1,2,4,4,2,4,2,2,2,1,1,1,12110001,1
3,4,3,5,7,1,1,0,0,1,1,1,2,2,4,4,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12110002,1
3,7,3,6,4,2,2,1,1,1,1,1,4,4,4,5,3,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,3,5,2,4,2,2,2,2,2,1,1,1,1,1,12110003,1
,4,3,2,6,1,1,0,0,1,1,1,5,5,5,5,3,3,3,4,4,3,3,3,3,5,5,5,5,5,5,4,5,3,5,3,4,3,4,1,1,1,1,1,1,1,1,1,1,12170001,1
,4,3,4,6,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,5,5,5,5,5,5,4,2,2,4,2,3,2,2,2,1,1,1,2,1,1,1,1,1,12170002,1
,7,4,3,6,2,2,0,0,1,1,1,3,2,3,4,2,4,3,2,2,2,2,2,2,5,5,5,5,5,5,5,4,2,4,2,5,2,4,3,3,3,3,4,3,2,2,2,2,12220001,1
,7,4,3,4,1,1,0,0,1,1,1,3,2,2,4,2,2,2,2,2,1,1,1,1,5,5,5,5,5,5,4,2,2,5,2,4,2,4,2,3,2,3,2,2,2,2,2,2,12260001,0
3,9,3,5,5,1,1,0,0,1,1,1,5,5,5,5,4,5,4,5,5,4,3,2,2,5,5,5,5,5,5,5,5,3,5,3,5,2,5,2,2,2,2,2,2,2,1,1,1,12270001,1
2,3,3,1,5,4,1,0,0,1,1,1,1,1,5,5,1,1,1,5,3,1,1,4,4,5,5,5,5,5,5,5,1,1,5,1,5,1,1,5,2,5,2,3,1,1,3,3,2,12320001,1
2,3,3,2,5,3,1,0,0,1,1,1,2,2,5,5,2,2,2,5,4,1,2,4,4,5,5,5,5,5,5,5,4,1,5,1,5,1,1,5,4,5,4,5,2,3,2,3,3,12320002,1
4,5,4,3,7,3,3,0,0,1,1,1,3,4,4,3,3,2,2,3,3,4,3,3,3,3,3,4,4,3,4,4,5,3,3,2,2,3,2,1,2,2,2,3,3,3,2,2,2,12330001,0
7,7,3,2,5,2,2,0,0,1,1,1,3,3,4,4,5,5,4,4,4,4,3,3,4,4,4,4,3,3,5,5,4,4,3,3,3,4,4,4,4,5,4,5,5,5,5,5,4,12340003,0
4,5,3,4,6,2,2,0,0,4,2,1,4,5,4,4,3,4,4,5,5,4,4,3,4,5,4,4,4,3,3,5,4,4,5,5,3,3,4,3,4,4,3,3,4,5,4,4,4,12350002,0
3,5,4,1,7,2,2,0,0,1,1,1,3,3,4,3,3,2,3,3,2,3,4,4,3,2,2,4,4,3,3,3,2,2,3,4,4,3,3,3,4,3,4,3,3,3,2,2,3,12400002,1
4,5,4,3,5,3,4,0,0,1,1,1,3,3,4,4,3,3,4,4,5,4,3,3,3,3,3,4,4,5,5,4,4,3,3,4,4,4,5,2,3,2,3,3,3,3,3,4,4,12400004,0
3,8,4,6,5,2,2,1,1,1,1,1,2,2,3,3,1,3,2,4,3,3,2,2,1,5,5,3,4,4,4,3,4,2,2,2,3,2,3,4,3,4,4,4,3,2,2,2,2,12420001,0
3,5,3,2,5,2,2,0,0,1,1,1,2,4,4,4,2,3,2,4,3,3,2,2,2,5,5,5,5,5,4,3,3,2,4,2,3,2,3,5,4,5,4,4,3,2,3,2,2,12420002,0
,4,3,5,2,2,2,0,0,1,1,1,5,5,5,5,5,2,3,4,2,5,3,2,2,5,5,5,5,5,2,3,4,4,5,5,5,3,5,2,2,2,2,3,2,2,2,2,2,12420003,0
,5,3,2,6,2,2,1,1,1,1,1,2,4,3,4,3,5,2,3,2,4,3,3,2,5,5,5,5,5,5,3,3,2,5,3,5,3,5,3,2,2,3,2,2,1,1,1,1,12450001,1
3,5,3,3,6,2,1,1,1,1,1,1,3,3,3,4,2,4,3,5,5,5,4,4,3,5,5,5,5,5,5,3,3,2,5,4,5,2,4,4,3,2,3,2,2,1,1,1,1,12460001,1
3,5,3,2,6,2,2,0,0,1,1,1,2,2,3,4,3,4,4,1,1,1,1,1,1,5,5,5,5,5,5,4,1,1,1,1,4,1,3,4,4,3,4,3,2,2,2,2,2,12460002,1
3,5,3,4,3,2,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,1,1,1,1,1,1,12460003,1
3,6,4,5,6,2,2,1,1,1,1,1,5,5,5,5,4,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,3,5,4,5,3,4,2,2,2,2,2,1,1,1,1,1,12470001,1
3,6,4,5,5,1,1,0,0,1,1,1,4,4,5,5,5,5,4,4,4,4,4,3,3,5,5,5,5,5,5,5,5,4,5,4,5,3,4,2,2,2,2,2,2,2,2,2,2,12470002,1
3,7,4,4,3,2,2,0,0,1,1,1,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,12470003,1
5,3,2,4,7,2,2,1,1,1,1,1,4,4,3,5,4,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,12490001,1
5,3,2,1,6,1,1,1,1,1,1,1,4,5,4,4,4,5,5,5,5,5,4,3,2,5,5,2,5,5,5,5,5,5,5,3,5,5,4,5,4,5,5,5,4,4,5,5,4,12490002,1
4,8,4,1,7,2,1,0,0,1,1,1,4,4,4,4,4,5,4,4,4,2,2,2,1,5,5,3,2,4,2,2,2,2,2,2,2,2,2,5,5,5,5,5,2,2,1,2,1,12500002,1
4,10,4,1,4,4,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,2,3,3,4,3,4,12500003,0
,7,4,1,4,3,3,0,0,1,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,12510003,0
5,9,4,2,4,3,2,0,0,1,1,1,5,4,5,5,4,4,5,5,4,4,5,5,4,5,5,4,5,4,5,5,4,5,5,4,4,5,4,5,5,5,4,4,5,4,4,5,4,12590003,0
3,6,3,1,3,2,1,0,0,1,1,1,5,5,4,5,5,4,4,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,4,4,5,5,5,3,4,4,3,3,3,3,4,4,3,12610002,0
5,7,4,1,5,3,2,4,4,3,1,1,4,5,4,4,4,5,3,4,4,4,4,4,4,5,5,5,4,5,4,4,4,5,4,4,4,4,4,4,5,4,5,5,3,4,3,3,3,12830001,0
5,11,4,1,5,3,2,4,4,3,1,1,4,3,4,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5,4,4,5,5,5,5,4,5,5,3,5,4,3,3,3,4,2,3,3,12830002,0
2,3,3,2,5,1,1,0,0,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,2,3,3,3,2,12840002,0
3,4,3,1,2,3,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,4,4,4,4,3,12840003,0
3,5,3,1,2,2,2,0,0,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,2,3,2,4,2,12850003,0
3,8,4,1,6,3,3,4,4,3,1,1,5,5,4,4,5,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,4,4,4,4,4,4,4,2,3,2,3,3,2,2,3,2,2,12880001,0
3,8,4,1,5,3,3,4,4,2,1,1,4,4,5,4,4,3,4,4,4,5,4,4,4,5,5,5,4,4,4,5,5,5,4,5,5,4,5,4,5,4,5,5,4,4,4,3,4,12880002,1
2,6,4,2,5,4,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,4,4,4,4,3,2,3,2,2,12980001,1
2,5,4,1,5,3,1,0,0,1,1,1,4,4,5,5,4,5,5,5,5,3,4,4,4,5,5,5,5,5,5,5,5,1,5,4,5,1,1,3,3,3,4,3,2,2,1,1,1,12980002,1
3,7,3,2,7,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,5,5,4,4,5,3,2,2,2,2,2,2,2,4,3,3,4,4,3,2,3,3,2,13170001,0
3,7,4,1,3,2,1,0,0,1,1,1,5,5,5,5,4,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,4,4,5,3,4,3,5,5,5,4,3,4,3,3,3,13190005,0
,7,3,5,4,3,2,4,4,4,1,1,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,3,3,13290001,0
1,5,3,1,7,3,3,0,0,1,1,1,4,4,4,2,2,2,1,2,2,2,2,2,2,5,5,5,5,4,4,4,1,1,1,1,1,1,1,3,2,3,3,3,3,3,3,2,2,13410001,1
4,9,4,1,5,2,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,13410002,0
,6,3,1,6,3,3,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,4,5,5,1,2,1,2,2,2,2,2,2,2,13450001,0
,6,4,1,3,3,3,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,3,2,2,2,1,1,1,13450003,0
