p__i02001,p__i02003,p__c02003,p__c05049,p__c05050,p__c05051,p__l01001,p__j01001,p__a03024,p__a03026,p__d01001,p__d11001,p__d28001,p__d08001,p__d22001,p__d10001,p__d12001,p__a03032,p__d02001,p__d05001,p__d29001,p__d26058,p__c01002,p__a03002,p__d26007,p__age,p__k02006,p__k02007,p__d14002,p__d14004,p__d14005,p__d14008,p__d14011,p__d25040,p__d25041,p__d25042,p__d25045,p__d25047,p__d25048,p__d25049,p__d25052,p__d25053,p__d25056,p__d25057,p__d25058,p__d25060,p__d25062,p__d25064,p__d25065,p__d25066,p__d25070,p__d25072,p__d25073,p__d25076,p__d25077,p__d25080,p__d25081,p__d25082,p__d25083,p__d25085,p__d23003,p__d23005,p__d23006,p__d23007,p__d23008,p__n01038,p__n01041,p__n01042,p__n01043,p__n01047,p__c01001,p__a03038,p__l01037,p__d26039,p__d26043,pid,is_churned
1.0,1.0,1.0,2,2,2,1,2,1.0,1.0,11.0,1,2.0,2,1,2,2,2.0,1,1,2.0,,7.0,4.0,3.0,6,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4,4,5,5,4,4,3,3,3,4,3,2,3,3,4,5,4,5,3,3.0,3.0,4.0,4.0,3.0,65.0,18.0,26.0,120.0,120.0,530003,1
2.0,2.0,1.0,2,2,1,2,2,1.0,1.0,9.0,1,2.0,1,1,2,2,2.0,3,1,2.0,4.0,8.0,4.0,5.0,4,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4,5,3,4,3,3,2,3,3,3,2,3,3,3,4,5,4,3,4,4.0,4.0,4.0,3.0,3.0,70.0,14.0,,40.0,50.0,540003,1
1.0,1.0,1.0,2,2,2,2,1,1.0,1.0,24.0,1,2.0,1,1,2,2,2.0,6,1,2.0,4.0,7.0,4.0,5.0,5,3.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,5,4,4,4,5,4,4,3,3,4,4,3,4,5,4,5,4,4.0,4.0,3.0,3.0,3.0,67.0,4.0,,30.0,120.0,550002,1
1.0,1.0,1.0,2,2,1,2,2,1.0,1.0,4.0,1,2.0,1,1,2,2,1.0,8,1,1.0,1.0,8.0,4.0,5.0,5,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4,3,3,4,4,5,4,4,4,4,3,3,4,3,5,4,5,4,4,4.0,4.0,3.0,3.0,4.0,70.0,5.0,,100.0,120.0,550003,0
1.0,1.0,1.0,2,2,2,1,2,1.0,1.0,14.0,1,2.0,1,1,2,1,1.0,2,1,2.0,3.0,6.0,3.0,1.0,5,3.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4,4,4,4,3,4,3,4,4,3,3,4,4,4,2,2,3,3,3,3.0,3.0,4.0,4.0,3.0,50.0,24.0,60.0,90.0,180.0,560001,0
1.0,1.0,1.0,2,2,2,1,2,1.0,1.0,17.0,1,2.0,1,1,2,2,1.0,14,1,2.0,4.0,7.0,4.0,1.0,5,3.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,5,5,4,5,4,4,5,5,4,3,3,3,4,4,3,2,3,2,3,3.0,3.0,4.0,3.0,3.0,60.0,7.0,60.0,90.0,180.0,560002,0
1.0,1.0,1.0,2,2,2,1,1,1.0,1.0,11.0,1,2.0,1,1,2,2,1.0,6,1,2.0,4.0,7.0,4.0,2.0,5,3.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,3.0,2.0,2.0,2.0,3.0,65.0,12.0,4.0,60.0,120.0,590001,0
1.0,1.0,1.0,2,2,1,1,1,1.0,1.0,16.0,1,2.0,1,1,2,1,1.0,1,1,2.0,4.0,8.0,4.0,3.0,3,3.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,3,4,3,4,4,4,4,3,3,3,4,4,4,3,5,4,4,3,4.0,4.0,4.0,4.0,4.0,70.0,24.0,12.0,60.0,60.0,600005,1
2.0,2.0,1.0,2,2,1,1,2,1.0,1.0,11.0,1,2.0,1,1,2,2,1.0,14,1,2.0,4.0,6.0,4.0,5.0,4,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,5,3,3,4,4.0,4.0,4.0,3.0,3.0,50.0,3.0,5.0,60.0,120.0,610001,0
1.0,1.0,1.0,2,1,1,2,1,1.0,1.0,11.0,1,2.0,1,1,2,2,2.0,13,1,2.0,4.0,9.0,4.0,3.0,5,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4,4,5,5,4,5,4,4,5,5,4,5,4,4,3,4,4,4,4,3.0,4.0,3.0,3.0,3.0,85.0,15.0,,150.0,60.0,630001,0
1.0,1.0,1.0,2,1,1,2,1,1.0,1.0,11.0,1,2.0,1,1,2,2,1.0,8,1,2.0,3.0,8.0,4.0,3.0,5,3.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5,5,4,5,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,3.0,3.0,4.0,4.0,3.0,70.0,14.0,,90.0,90.0,630002,0
1.0,1.0,1.0,2,2,2,2,2,1.0,1.0,5.0,1,2.0,2,1,2,2,2.0,6,1,2.0,,5.0,4.0,4.0,6,2.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,5,5,5,3,4,4,4,2,1,3,2,3,1,2,3,3,3,4,4,2.0,2.0,2.0,2.0,2.0,47.0,24.0,,80.0,80.0,660002,0
1.0,1.0,1.0,2,2,2,2,1,1.0,1.0,19.0,1,2.0,1,1,2,2,2.0,1,1,2.0,3.0,6.0,4.0,4.0,6,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5,5,5,5,5,5,5,3,1,4,4,4,2,4,4,4,4,4,4,3.0,4.0,3.0,4.0,3.0,55.0,17.0,,30.0,30.0,730002,0
2.0,1.0,1.0,2,2,2,2,2,1.0,1.0,3.0,1,2.0,1,1,2,2,2.0,2,1,2.0,4.0,5.0,3.0,3.0,7,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5,5,5,5,5,5,4,4,1,4,1,4,1,3,4,4,4,4,4,4.0,3.0,3.0,3.0,3.0,43.0,5.0,,60.0,120.0,750002,1
1.0,1.0,1.0,2,2,2,2,1,1.0,1.0,19.0,1,2.0,1,1,2,1,2.0,1,1,2.0,1.0,6.0,4.0,3.0,6,4.0,4.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,5,4,5,5,5.0,5.0,5.0,5.0,5.0,52.0,29.0,,60.0,120.0,830001,0
2.0,1.0,1.0,2,2,2,2,2,1.0,1.0,19.0,1,2.0,1,1,2,1,2.0,6,1,2.0,1.0,6.0,4.0,4.0,6,4.0,4.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,55.0,15.0,,40.0,30.0,830002,0
1.0,1.0,1.0,2,2,1,2,1,1.0,1.0,17.0,1,2.0,1,1,2,1,2.0,6,1,1.0,1.0,7.0,4.0,2.0,3,3.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5,4,4,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5.0,4.0,4.0,4.0,4.0,69.0,15.0,,90.0,120.0,830003,0
